"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Apr., 2014"	"2014/04"	54	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"May, 2014"	"2014/05"	59	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jun., 2014"	"2014/06"	50	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jul., 2014"	"2014/07"	48	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Aug., 2014"	"2014/08"	61	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Sep., 2014"	"2014/09"	67	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Oct., 2014"	"2014/10"	62	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Nov., 2014"	"2014/11"	46	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Dec., 2014"	"2014/12"	52	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Jan., 2015"	"2015/01"	58	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Feb., 2015"	"2015/02"	55	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Mar., 2015"	"2015/03"	74	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Apr., 2015"	"2015/04"	52	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"May, 2015"	"2015/05"	64	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Jun., 2015"	"2015/06"	54	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Jul., 2015"	"2015/07"	54	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Aug., 2015"	"2015/08"	66	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Sep., 2015"	"2015/09"	49	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Oct., 2015"	"2015/10"	52	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Nov., 2015"	"2015/11"	51	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Dec., 2015"	"2015/12"	44	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Jan., 2016"	"2016/01"	63	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Feb., 2016"	"2016/02"	64	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Mar., 2016"	"2016/03"	69	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Apr., 2016"	"2016/04"	64	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"May, 2016"	"2016/05"	54	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Jun., 2016"	"2016/06"	59	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Jul., 2016"	"2016/07"	64	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Aug., 2016"	"2016/08"	50	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Sep., 2016"	"2016/09"	51	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Oct., 2016"	"2016/10"	59	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Nov., 2016"	"2016/11"	44	Not Applicable	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Dec., 2016"	"2016/12"	50	Not Applicable	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2014"	"2014"	"Mar., 2014"	"2014/03"	14	Not Applicable	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2016"	"2016"	"Jul., 2016"	"2016/07"	10	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Jan., 2014"	"2014/01"	16	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Mar., 2014"	"2014/03"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Apr., 2014"	"2014/04"	12	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"May, 2014"	"2014/05"	19	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Jun., 2014"	"2014/06"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Aug., 2014"	"2014/08"	14	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Sep., 2014"	"2014/09"	18	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Nov., 2014"	"2014/11"	15	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2014"	"2014"	"Dec., 2014"	"2014/12"	18	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Jan., 2015"	"2015/01"	13	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Feb., 2015"	"2015/02"	13	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Mar., 2015"	"2015/03"	18	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Apr., 2015"	"2015/04"	22	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"May, 2015"	"2015/05"	18	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Jun., 2015"	"2015/06"	11	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Jul., 2015"	"2015/07"	16	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Aug., 2015"	"2015/08"	19	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Sep., 2015"	"2015/09"	12	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Oct., 2015"	"2015/10"	19	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Nov., 2015"	"2015/11"	13	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Dec., 2015"	"2015/12"	28	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Jan., 2016"	"2016/01"	18	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Feb., 2016"	"2016/02"	15	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Mar., 2016"	"2016/03"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Apr., 2016"	"2016/04"	16	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Jun., 2016"	"2016/06"	20	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Jul., 2016"	"2016/07"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Aug., 2016"	"2016/08"	11	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Sep., 2016"	"2016/09"	17	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Oct., 2016"	"2016/10"	19	Not Applicable	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2016"	"2016"	"Nov., 2016"	"2016/11"	16	Not Applicable	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"2016"	"2016"	"Nov., 2016"	"2016/11"	11	Not Applicable	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2014"	"2014"	"Jul., 2014"	"2014/07"	10	Not Applicable	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2014"	"2014"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	"Oct., 2015"	"2015/10"	14	Not Applicable	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2016"	"2016"	"Oct., 2016"	"2016/10"	14	Not Applicable	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"2015"	"2015"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2014"	"2014"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2014"	"2014"	"Aug., 2014"	"2014/08"	10	Not Applicable	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2014"	"2014"	"Dec., 2014"	"2014/12"	11	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Feb., 2014"	"2014/02"	16	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Mar., 2014"	"2014/03"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Apr., 2014"	"2014/04"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"May, 2014"	"2014/05"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Jul., 2014"	"2014/07"	13	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Aug., 2014"	"2014/08"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Sep., 2014"	"2014/09"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Oct., 2014"	"2014/10"	15	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Nov., 2014"	"2014/11"	18	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Dec., 2014"	"2014/12"	15	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Jan., 2015"	"2015/01"	10	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Mar., 2015"	"2015/03"	16	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Apr., 2015"	"2015/04"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Jun., 2015"	"2015/06"	15	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Jul., 2015"	"2015/07"	16	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Aug., 2015"	"2015/08"	11	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Sep., 2015"	"2015/09"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Dec., 2015"	"2015/12"	17	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Feb., 2016"	"2016/02"	17	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Mar., 2016"	"2016/03"	13	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Apr., 2016"	"2016/04"	15	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"May, 2016"	"2016/05"	17	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Jun., 2016"	"2016/06"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Jul., 2016"	"2016/07"	18	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Aug., 2016"	"2016/08"	10	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Sep., 2016"	"2016/09"	14	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Oct., 2016"	"2016/10"	18	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Nov., 2016"	"2016/11"	11	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Mar., 2014"	"2014/03"	15	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Apr., 2014"	"2014/04"	14	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Sep., 2014"	"2014/09"	11	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Apr., 2015"	"2015/04"	12	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Jun., 2015"	"2015/06"	15	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Aug., 2015"	"2015/08"	15	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Oct., 2015"	"2015/10"	12	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Jan., 2016"	"2016/01"	12	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Apr., 2016"	"2016/04"	15	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Jun., 2016"	"2016/06"	14	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Jul., 2016"	"2016/07"	15	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Aug., 2016"	"2016/08"	14	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Sep., 2016"	"2016/09"	11	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Oct., 2016"	"2016/10"	12	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Nov., 2016"	"2016/11"	13	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2014"	"2014"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2014"	"2014"	"Apr., 2014"	"2014/04"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2014"	"2014"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2014"	"2014"	"Sep., 2014"	"2014/09"	10	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2014"	"2014"	"Dec., 2014"	"2014/12"	11	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2015"	"2015"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2015"	"2015"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2015"	"2015"	"Jun., 2015"	"2015/06"	10	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2015"	"2015"	"Oct., 2015"	"2015/10"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2016"	"2016"	"Mar., 2016"	"2016/03"	11	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2016"	"2016"	"May, 2016"	"2016/05"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2016"	"2016"	"Aug., 2016"	"2016/08"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2016"	"2016"	"Sep., 2016"	"2016/09"	12	Not Applicable	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2016"	"2016"	"Dec., 2016"	"2016/12"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Jan., 2014"	"2014/01"	10	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Mar., 2014"	"2014/03"	10	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Jun., 2014"	"2014/06"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Aug., 2014"	"2014/08"	13	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Sep., 2014"	"2014/09"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Oct., 2014"	"2014/10"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Nov., 2014"	"2014/11"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2014"	"2014"	"Dec., 2014"	"2014/12"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2015"	"2015"	"Jan., 2015"	"2015/01"	13	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2015"	"2015"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2015"	"2015"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2015"	"2015"	"Jul., 2015"	"2015/07"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2015"	"2015"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Jan., 2016"	"2016/01"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Feb., 2016"	"2016/02"	11	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Apr., 2016"	"2016/04"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"May, 2016"	"2016/05"	14	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Jul., 2016"	"2016/07"	15	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Oct., 2016"	"2016/10"	10	Not Applicable	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2016"	"2016"	"Dec., 2016"	"2016/12"	12	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Jan., 2014"	"2014/01"	59	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Feb., 2014"	"2014/02"	61	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Mar., 2014"	"2014/03"	70	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Apr., 2014"	"2014/04"	82	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"May, 2014"	"2014/05"	64	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Jun., 2014"	"2014/06"	72	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Jul., 2014"	"2014/07"	75	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Aug., 2014"	"2014/08"	74	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Sep., 2014"	"2014/09"	64	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Oct., 2014"	"2014/10"	65	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Nov., 2014"	"2014/11"	54	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	"Dec., 2014"	"2014/12"	78	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Jan., 2015"	"2015/01"	69	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Feb., 2015"	"2015/02"	81	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Mar., 2015"	"2015/03"	49	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Apr., 2015"	"2015/04"	60	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"May, 2015"	"2015/05"	65	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Jun., 2015"	"2015/06"	97	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Jul., 2015"	"2015/07"	87	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Aug., 2015"	"2015/08"	71	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Sep., 2015"	"2015/09"	68	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Oct., 2015"	"2015/10"	83	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Nov., 2015"	"2015/11"	50	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	"Dec., 2015"	"2015/12"	43	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2016"	"2016"	"Jan., 2016"	"2016/01"	77	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2016"	"2016"	"Feb., 2016"	"2016/02"	81	Not Applicable	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2016"	"2016"	"Mar., 2016"	"2016/03"	76	Not Applicable	Not Applicable	Not Applicable
