"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Oct., 2013"	"2013/10"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Nov., 2013"	"2013/11"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Dec., 2013"	"2013/12"	51	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2011"	"2011"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2012"	"2012"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2013"	"2013"	"Dec., 2013"	"2013/12"	10	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Jan., 2010"	"2010/01"	21	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Feb., 2010"	"2010/02"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"May, 2010"	"2010/05"	22	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Jul., 2010"	"2010/07"	17	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Aug., 2010"	"2010/08"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2010"	"2010"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Mar., 2011"	"2011/03"	18	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Apr., 2011"	"2011/04"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"May, 2011"	"2011/05"	17	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Jun., 2011"	"2011/06"	20	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Jul., 2011"	"2011/07"	19	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Aug., 2011"	"2011/08"	20	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Sep., 2011"	"2011/09"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2011"	"2011"	"Oct., 2011"	"2011/10"	18	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Jan., 2012"	"2012/01"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Feb., 2012"	"2012/02"	11	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Mar., 2012"	"2012/03"	16	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Apr., 2012"	"2012/04"	18	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"May, 2012"	"2012/05"	18	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Jun., 2012"	"2012/06"	19	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Jul., 2012"	"2012/07"	23	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Aug., 2012"	"2012/08"	19	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Sep., 2012"	"2012/09"	18	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Oct., 2012"	"2012/10"	12	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Nov., 2012"	"2012/11"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2012"	"2012"	"Dec., 2012"	"2012/12"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Jan., 2013"	"2013/01"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Apr., 2013"	"2013/04"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"May, 2013"	"2013/05"	15	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Jun., 2013"	"2013/06"	19	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Jul., 2013"	"2013/07"	17	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Aug., 2013"	"2013/08"	16	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Sep., 2013"	"2013/09"	19	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Oct., 2013"	"2013/10"	16	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Nov., 2013"	"2013/11"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2013"	"2013"	"Dec., 2013"	"2013/12"	16	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2011"	"2011"	"Aug., 2011"	"2011/08"	11	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2012"	"2012"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2012"	"2012"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2012"	"2012"	"Aug., 2012"	"2012/08"	12	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2010"	"2010"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2012"	"2012"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Jan., 2010"	"2010/01"	20	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Feb., 2010"	"2010/02"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Jun., 2010"	"2010/06"	15	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Oct., 2010"	"2010/10"	16	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Jan., 2011"	"2011/01"	19	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Jun., 2011"	"2011/06"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Aug., 2011"	"2011/08"	16	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Nov., 2011"	"2011/11"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Mar., 2012"	"2012/03"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"May, 2012"	"2012/05"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Jun., 2012"	"2012/06"	16	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Jul., 2012"	"2012/07"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Aug., 2012"	"2012/08"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Sep., 2012"	"2012/09"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Oct., 2012"	"2012/10"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Nov., 2012"	"2012/11"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Jan., 2013"	"2013/01"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Jun., 2013"	"2013/06"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Jul., 2013"	"2013/07"	15	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Aug., 2013"	"2013/08"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Sep., 2013"	"2013/09"	18	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Nov., 2013"	"2013/11"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Dec., 2013"	"2013/12"	10	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"2013"	"2013"	"Apr., 2013"	"2013/04"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Oct., 2010"	"2010/10"	14	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Dec., 2010"	"2010/12"	13	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Mar., 2011"	"2011/03"	11	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Aug., 2011"	"2011/08"	14	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Sep., 2011"	"2011/09"	12	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Nov., 2011"	"2011/11"	19	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"Jan., 2012"	"2012/01"	12	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"Aug., 2012"	"2012/08"	14	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"Nov., 2012"	"2012/11"	16	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Jan., 2013"	"2013/01"	14	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Feb., 2013"	"2013/02"	11	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Dec., 2013"	"2013/12"	10	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2011"	"2011"	"Apr., 2011"	"2011/04"	11	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2011"	"2011"	"Aug., 2011"	"2011/08"	13	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2012"	"2012"	"Mar., 2012"	"2012/03"	11	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2013"	"2013"	"Jun., 2013"	"2013/06"	10	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2013"	"2013"	"Sep., 2013"	"2013/09"	14	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2013"	"2013"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2010"	"2010"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2010"	"2010"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2010"	"2010"	"Oct., 2010"	"2010/10"	11	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2011"	"2011"	"Mar., 2011"	"2011/03"	11	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2011"	"2011"	"Jun., 2011"	"2011/06"	14	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2011"	"2011"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2011"	"2011"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2011"	"2011"	"Nov., 2011"	"2011/11"	13	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2012"	"2012"	"Apr., 2012"	"2012/04"	11	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2012"	"2012"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2012"	"2012"	"Jun., 2012"	"2012/06"	16	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Jan., 2013"	"2013/01"	13	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Feb., 2013"	"2013/02"	12	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Mar., 2013"	"2013/03"	12	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Apr., 2013"	"2013/04"	14	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Jun., 2013"	"2013/06"	12	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2013"	"2013"	"Dec., 2013"	"2013/12"	12	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Jan., 2010"	"2010/01"	56	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Feb., 2010"	"2010/02"	61	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Mar., 2010"	"2010/03"	73	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Apr., 2010"	"2010/04"	61	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"May, 2010"	"2010/05"	70	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Jun., 2010"	"2010/06"	69	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Jul., 2010"	"2010/07"	72	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Aug., 2010"	"2010/08"	85	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Sep., 2010"	"2010/09"	75	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Oct., 2010"	"2010/10"	72	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Nov., 2010"	"2010/11"	58	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	"Dec., 2010"	"2010/12"	57	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Jan., 2011"	"2011/01"	59	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Feb., 2011"	"2011/02"	60	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Mar., 2011"	"2011/03"	72	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Apr., 2011"	"2011/04"	77	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"May, 2011"	"2011/05"	60	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Jun., 2011"	"2011/06"	61	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Jul., 2011"	"2011/07"	70	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Aug., 2011"	"2011/08"	73	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Sep., 2011"	"2011/09"	63	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Oct., 2011"	"2011/10"	67	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Nov., 2011"	"2011/11"	59	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	"Dec., 2011"	"2011/12"	57	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Jan., 2012"	"2012/01"	72	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Feb., 2012"	"2012/02"	70	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Mar., 2012"	"2012/03"	60	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Apr., 2012"	"2012/04"	59	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"May, 2012"	"2012/05"	67	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Jun., 2012"	"2012/06"	53	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Jul., 2012"	"2012/07"	62	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	"Aug., 2012"	"2012/08"	64	Not Applicable	Not Applicable
