State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
CA,Kern County,2011,0.581,0.144,0.414,4890.0,44716.0,60.70833333333334,0.5591666666666666,2.0,4.5,11.9,0,0,0,0,0,0,1
CA,Kings County,2011,0.491,0.146,0.417,6467.0,48614.0,62.18333333333334,0.5816666666666667,3.0,3.0,7.2,0,0,0,0,1,0,1
CA,Lake County,2011,0.6609999999999999,0.156,0.483,5007.0,38926.0,55.99166666666667,3.1075000000000004,4.0,4.1,28.0,0,0,0,0,0,0,1
CA,Los Angeles County,2011,0.595,0.1159999999999999,0.552,1770.0,55452.0,60.71666666666666,1.0025,1.0,3.7,7.9,0,0,0,1,1,0,1
CA,Madera County,2011,0.6829999999999999,0.1369999999999999,0.38,5676.0,46066.0,54.84166666666667,1.6708333333333336,3.0,4.3,17.1,0,0,0,0,0,1,1
CA,Marin County,2011,,0.078,0.738,444.0,89909.0,54.65000000000001,2.3741666666666665,1.0,2.1,15.7,0,0,1,1,1,1,1
CA,Mendocino County,2011,0.66,0.105,0.477,2258.0,43134.0,54.31666666666666,3.5750000000000006,4.0,3.5,19.4,0,0,0,0,0,1,0
CA,Merced County,2011,0.855,0.172,0.414,18797.0,42629.0,60.83333333333334,0.8366666666666668,2.0,4.1,11.9,1,0,0,0,0,0,1
CA,Monterey County,2011,0.66,0.119,0.4479999999999999,2778.0,58822.0,57.525,1.691666666666667,2.0,3.6,7.8,0,0,0,0,1,0,1
CA,Napa County,2011,0.742,0.087,0.5589999999999999,825.0,64829.0,58.15833333333333,2.2941666666666665,3.0,4.3,13.0,0,0,0,1,1,0,1
CA,Nevada County,2011,1.0,0.107,0.6859999999999999,1802.0,56030.0,50.725,3.6225,4.0,2.9,25.3,1,0,1,1,1,1,0
CA,Orange County,2011,0.7090000000000001,0.09,0.628,1867.0,74862.0,63.19999999999999,0.7891666666666667,1.0,3.1,10.1,0,0,1,1,1,0,1
CA,Placer County,2011,0.862,0.106,0.736,2564.0,75029.0,52.20833333333334,3.345,1.0,3.2,14.9,1,0,1,0,1,1,1
CA,Riverside County,2011,0.746,0.136,0.501,5568.0,57590.0,67.48333333333332,0.5283333333333333,1.0,3.9,10.1,0,0,0,0,1,0,1
CA,Sacramento County,2011,0.7040000000000001,0.113,0.634,2295.0,56882.0,60.50833333333333,1.4491666666666665,1.0,3.9,12.2,0,0,1,0,1,0,1
CA,San Bernardino County,2011,0.6459999999999999,0.13,0.496,4059.0,54768.0,65.50833333333334,0.3975,1.0,4.1,9.7,0,0,0,0,1,0,1
CA,San Diego County,2011,0.767,0.0969999999999999,0.659,1479.0,62820.0,62.03333333333333,1.0649999999999995,1.0,3.4,12.3,0,0,1,1,1,0,1
CA,San Francisco County,2011,0.6779999999999999,0.09,0.821,571.0,73127.0,56.14166666666667,1.7633333333333334,1.0,3.4,12.6,0,0,1,1,1,0,1
CA,San Joaquin County,2011,0.638,0.154,0.485,5620.0,54350.0,60.4,0.9674999999999998,2.0,4.0,11.2,0,0,0,0,1,0,1
CA,San Luis Obispo County,2011,0.8859999999999999,0.09,0.614,884.0,60088.0,58.36666666666665,1.29,2.0,4.0,17.3,1,0,1,1,1,0,1
CA,San Mateo County,2011,0.6409999999999999,0.086,0.718,1240.0,84879.0,55.95000000000001,1.9116666666666668,1.0,2.8,10.2,0,0,1,1,1,0,1
CA,Santa Barbara County,2011,0.727,0.084,0.5720000000000001,1577.0,60645.0,57.6,1.3633333333333333,2.0,2.9,9.2,0,0,0,1,1,0,1
CA,Santa Clara County,2011,0.885,0.11,0.7140000000000001,1646.0,88525.0,57.16666666666666,1.6425,1.0,2.7,9.0,1,0,1,1,1,0,1
CA,Santa Cruz County,2011,0.8190000000000001,0.1119999999999999,0.6559999999999999,1360.0,66495.0,56.19166666666666,2.371666666666667,2.0,3.8,13.2,0,0,1,1,1,0,1
CA,Shasta County,2011,0.851,0.148,0.606,3761.0,42362.0,53.84166666666668,2.9641666666666664,3.0,3.7,28.7,1,0,1,0,0,1,1
CA,Siskiyou County,2011,0.991,0.148,0.605,4948.0,36823.0,47.575,2.5866666666666664,6.0,5.0,33.6,1,0,1,0,0,1,1
CA,Solano County,2011,0.655,0.109,0.611,2764.0,70173.0,59.50833333333333,1.4299999999999995,2.0,3.4,14.9,0,0,1,0,1,0,1
